f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,f_host_response_time,p_host_response_rate,p_host_acceptance_rate,usd_price,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincefirst,n_days_sincelast,d_backyard,d_baking_sheet,d_barbecue_utensils,d_bathtub,d_bed_linens,d_board_games,d_building_staff,d_carbon_monoxide_alarm,d_cleaning_before_checkout,d_cleaning_products,d_cooking_basics,d_dining_table,d_dishes_and_silverware,d_drying_rack_for_clothing,d_elevator,d_essentials,d_ethernet_connection,d_ev_charger,d_extra_pillows_and_blankets,d_fire_extinguisher,d_first_aid_kit,d_freezer,d_hangers,d_host_greets_you,d_hot_tub,d_hot_water,d_hot_water_kettle,d_keypad,d_laundromat_nearby,d_lock_on_bedroom_door,d_lockbox,d_long_term_stays_allowed,d_luggage_dropoff_allowed,d_microwave,d_mini_fridge,d_outdoor_dining_area,d_outdoor_furniture,d_outlet_covers,d_private_entrance,d_roomdarkening_shades,d_safe,d_security_cameras_on_property,d_single_level_home,d_smart_lock,d_smoke_alarm,d_toaster,d_waterfront,d_window_guards,d_wine_glasses,d_have_kitchen,d_have_stove,d_have_oven,d_have_frige,d_have_o_machineee_machinecoffee,d_have_gril,d_have_freeon_premises,d_have_freestreet,d_host_is_superhost,d_host_identity_verified,price,id,neighbourhood_cleansed,room_type,property_type
unit,Entire home/apt,Entire/Apt,Leopoldstadt,NA,NA,NA,75.24,5,1,1,3,4.75,336,2.57,3,124,3914,25,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,66,38768,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Rudolfsheim-F<U+009F>nfhaus,within a day,97,79,177.83999999999997,6,1,2,4,4.84,162,1.17,1,306,4145,38,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,156,40625,Rudolfsheim-F<U+009F>nfhaus,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Leopoldstadt,NA,NA,NA,70.67999999999999,3,1,NA,2,4.64,327,2.47,3,136,3969,17,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,62,51287,Leopoldstadt,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Ottakring,NA,NA,NA,87.77999999999999,4,1,2,2,4.87,50,0.4,3,0,3767,1072,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,77,75471,Ottakring,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Brigittenau,within a day,100,NA,74.1,4,1,2,2,4.45,14,0.11,4,283,3795,739,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,65,75500,Brigittenau,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Neubau,NA,NA,NA,111.71999999999998,4,1,1,2,4.86,631,4.87,1,264,3885,403,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,98,90247,Neubau,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Rudolfsheim-F<U+009F>nfhaus,within a day,97,79,115.13999999999999,5,1,NA,4,4.87,123,1.04,1,356,3538,37,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,101,109679,Rudolfsheim-F<U+009F>nfhaus,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Hernals,within an hour,100,100,59.279999999999994,4,1,1,1,4.91,152,1.19,3,149,3819,37,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,52,111059,Hernals,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Rudolfsheim-F<U+009F>nfhaus,within a day,97,79,93.47999999999999,5,1,NA,4,4.87,120,0.94,1,365,3838,705,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,82,114505,Rudolfsheim-F<U+009F>nfhaus,Entire home/apt,unit
unit,Entire home/apt,Entire/Apt,Floridsdorf,NA,NA,NA,78.66,3,1,1,1,4.75,17,0.17,3,0,2966,509,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,69,114953,Floridsdorf,Entire home/apt,unit
