f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,n_accommodates,n_bathrooms,n_bedrooms,n_beds,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_availability_365,n_days_sincelast,d_backyard,d_backyard1,d_baking_sheet,d_baking_sheet1,d_barbecue_utensils,d_barbecue_utensils1,d_bathtub,d_bathtub1,d_bed_linens,d_bed_linens1,d_board_games,d_board_games1,d_building_staff,d_building_staff1,d_carbon_monoxide_alarm,d_carbon_monoxide_alarm1,d_cleaning_before_checkout,d_cleaning_before_checkout1,d_cleaning_products,d_cleaning_products1,d_cooking_basics,d_cooking_basics1,d_dining_table,d_dining_table1,d_dishes_and_silverware,d_dishes_and_silverware1,d_drying_rack_for_clothing,d_drying_rack_for_clothing1,d_elevator,d_elevator1,d_essentials,d_essentials1,d_ethernet_connection,d_ethernet_connection1,d_ev_charger,d_ev_charger1,d_extra_pillows_and_blankets,d_extra_pillows_and_blankets1,d_fire_extinguisher,d_fire_extinguisher1,d_first_aid_kit,d_first_aid_kit1,d_freezer,d_freezer1,d_hangers,d_hangers1,d_host_greets_you,d_host_greets_you1,d_hot_tub,d_hot_tub1,d_hot_water,d_hot_water1,d_hot_water_kettle,d_hot_water_kettle1,d_keypad,d_keypad1,d_laundromat_nearby,d_host_is_superhost,d_host_identity_verified,price,id,neighbourhood_cleansed,room_type,property_type,flag_review_scores_rating,flag_reviews_per_month,flag_days_sincelast,f_bathroom,f_bedroom,ln_bed,f_beds,f_review_scores_rating,f_number_of_reviews,f_minimum_nights
unit,Entire home/apt,Entire/Apt,Leopoldstadt,5,1,1,3,4.75,336,2.57,3,124,25,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,66,38768,Leopoldstadt,Entire home/apt,unit,0,0,0,1,2,1.0986122886681098,2,3,3,1
unit,Entire home/apt,Entire/Apt,Rudolfsheim-F<U+009F>nfhaus,6,1,2,4,4.84,162,1.17,1,306,38,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,156,40625,Rudolfsheim-F<U+009F>nfhaus,Entire home/apt,unit,0,0,0,1,2,1.3862943611198906,2,3,3,1
unit,Entire home/apt,Entire/Apt,Leopoldstadt,3,1,1,2,4.64,327,2.47,3,136,17,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,62,51287,Leopoldstadt,Entire home/apt,unit,0,0,0,1,2,0.6931471805599453,1,3,3,1
unit,Entire home/apt,Entire/Apt,Ottakring,4,1,2,2,4.87,50,0.4,3,0,1072,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,77,75471,Ottakring,Entire home/apt,unit,0,0,0,1,2,0.6931471805599453,1,3,3,1
unit,Entire home/apt,Entire/Apt,Brigittenau,4,1,2,2,4.45,14,0.11,4,283,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,65,75500,Brigittenau,Entire home/apt,unit,0,0,0,1,2,0.6931471805599453,1,3,2,1
unit,Entire home/apt,Entire/Apt,Neubau,4,1,1,2,4.86,631,4.87,1,264,403,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,98,90247,Neubau,Entire home/apt,unit,0,0,0,1,2,0.6931471805599453,1,3,3,1
unit,Entire home/apt,Entire/Apt,Rudolfsheim-F<U+009F>nfhaus,5,1,1,4,4.87,123,1.04,1,356,37,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,101,109679,Rudolfsheim-F<U+009F>nfhaus,Entire home/apt,unit,0,0,0,1,2,1.3862943611198906,2,3,3,1
unit,Entire home/apt,Entire/Apt,Hernals,4,1,1,1,4.91,152,1.19,3,149,37,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,52,111059,Hernals,Entire home/apt,unit,0,0,0,1,2,0,1,3,3,1
unit,Entire home/apt,Entire/Apt,Rudolfsheim-F<U+009F>nfhaus,5,1,1,4,4.87,120,0.94,1,365,705,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,82,114505,Rudolfsheim-F<U+009F>nfhaus,Entire home/apt,unit,0,0,0,1,2,1.3862943611198906,2,3,3,1
unit,Entire home/apt,Entire/Apt,Floridsdorf,3,1,1,1,4.75,17,0.17,3,0,509,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,69,114953,Floridsdorf,Entire home/apt,unit,0,0,0,1,2,0,1,3,2,1
